Soltu.DM.01G006360.v6.1	90	0	90
Soltu.DM.01G006380.v6.1	88	0	88
Soltu.DM.01G006390.v6.1	146	0	146
Soltu.DM.01G006400.v6.1	323	0	323
Soltu.DM.01G006440.v6.1	2	0	2
Soltu.DM.01G006490.v6.1	44	0	44
Soltu.DM.01G006500.v6.1	0	0	0
Soltu.DM.01G006540.v6.1	198	0	198
Soltu.DM.01G006550.v6.1	0	0	0
Soltu.DM.01G006570.v6.1	16	0	16
Soltu.DM.01G006640.v6.1	7	0	7
Soltu.DM.01G006670.v6.1	2	0	2
Soltu.DM.01G006710.v6.1	1	1	0
Soltu.DM.01G006740.v6.1	18	0	18
Soltu.DM.01G006780.v6.1	2188	5	2183
Soltu.DM.01G006820.v6.1	36	0	36
Soltu.DM.01G006830.v6.1	321	0	321
Soltu.DM.01G006840.v6.1	0	0	0
Soltu.DM.01G006850.v6.1	6	0	6
Soltu.DM.01G006880.v6.1	1	0	1
Soltu.DM.01G006920.v6.1	26	0	26
Soltu.DM.01G006950.v6.1	367	0	367
Soltu.DM.01G006960.v6.1	2	0	2
Soltu.DM.01G006990.v6.1	0	0	0
Soltu.DM.01G007030.v6.1	0	0	0
Soltu.DM.01G007070.v6.1	43	0	43
Soltu.DM.01G007080.v6.1	106	0	106
Soltu.DM.01G007090.v6.1	45	0	45
Soltu.DM.01G007150.v6.1	0	0	0
Soltu.DM.01G007170.v6.1	23	0	23
Soltu.DM.01G007180.v6.1	31	0	31
Soltu.DM.01G007220.v6.1	8	0	8
Soltu.DM.01G007230.v6.1	192	0	192
Soltu.DM.01G007240.v6.1	50	0	50
Soltu.DM.01G007250.v6.1	11	0	11
Soltu.DM.01G007260.v6.1	223	0	223
Soltu.DM.01G007270.v6.1	2	0	2
Soltu.DM.01G007280.v6.1	310	0	310
Soltu.DM.01G007410.v6.1	97	0	97
Soltu.DM.01G007500.v6.1	585	0	585
Soltu.DM.01G007520.v6.1	0	0	0
Soltu.DM.01G007550.v6.1	0	0	0
Soltu.DM.01G007570.v6.1	0	0	0
Soltu.DM.01G007580.v6.1	0	0	0
Soltu.DM.01G007600.v6.1	0	0	0
Soltu.DM.01G007610.v6.1	1	0	1
Soltu.DM.01G007620.v6.1	25	0	25
